DATA_OBITO,OUTRAS,COVID - MT,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,3,0,0,0,0,0,0
2018-01-02,2,0,0,1,3,1,0
2018-01-03,4,0,0,0,1,0,0
2018-01-04,6,0,0,1,0,0,0
2018-01-05,3,0,0,0,1,0,0
2018-01-06,2,0,0,0,0,1,0
2018-01-07,1,0,0,0,1,0,0
2018-01-08,1,0,0,0,2,0,0
2018-01-09,1,0,0,0,0,0,0
2018-01-10,3,0,0,0,0,0,0
2018-01-11,1,0,0,0,1,0,0
2018-01-12,2,0,0,0,0,1,0
2018-01-13,3,0,0,0,0,0,0
2018-01-14,5,0,0,0,0,0,0
2018-01-15,3,0,0,2,1,0,0
2018-01-16,1,0,0,1,0,0,0
2018-01-17,3,0,0,0,1,2,0
2018-01-18,1,0,0,0,3,0,0
2018-01-19,4,0,0,0,0,0,0
2018-01-20,2,0,0,0,0,1,0
2018-01-21,6,0,0,0,0,1,0
2018-01-22,2,0,0,1,1,0,0
2018-01-23,2,0,0,0,0,0,0
2018-01-24,4,0,0,0,0,0,0
2018-01-25,2,0,0,0,0,1,0
2018-01-26,4,0,0,1,1,0,0
2018-01-27,4,0,0,0,1,0,0
2018-01-28,4,0,0,0,0,1,0
2018-01-29,2,0,0,1,0,2,0
2018-01-30,1,0,0,1,0,2,0
2018-01-31,3,0,0,0,0,0,0
2018-02-01,3,0,0,0,1,1,0
2018-02-02,1,0,0,0,0,0,0
2018-02-03,1,0,0,1,0,2,0
2018-02-04,2,0,0,0,0,0,0
2018-02-05,2,0,0,1,0,0,0
2018-02-06,1,0,0,1,1,0,0
2018-02-07,5,0,0,1,0,0,0
2018-02-08,2,0,0,1,0,0,0
2018-02-09,3,0,0,0,0,0,0
2018-02-10,4,0,0,0,0,1,0
2018-02-11,6,0,0,1,0,0,0
2018-02-12,1,0,0,0,0,0,0
2018-02-13,2,0,0,1,1,0,0
2018-02-14,1,0,0,1,0,0,0
2018-02-15,3,0,0,0,0,0,0
2018-02-16,1,0,0,1,0,0,0
2018-02-17,4,0,0,0,1,0,0
2018-02-18,4,0,0,1,2,0,0
2018-02-19,1,0,0,0,2,0,0
2018-02-20,5,0,0,0,0,1,0
2018-02-21,3,0,0,0,2,1,0
2018-02-22,2,0,0,0,1,0,0
2018-02-23,0,0,1,0,0,1,0
2018-02-24,3,0,0,0,0,0,0
2018-02-25,3,0,0,0,0,1,0
2018-02-26,5,0,0,1,0,0,0
2018-02-27,4,0,0,1,1,0,0
2018-02-28,4,0,0,1,0,0,0
2018-03-01,2,0,0,2,0,1,0
2018-03-02,1,0,0,0,0,0,0
2018-03-03,1,0,0,1,0,0,0
2018-03-04,2,0,0,0,0,1,0
2018-03-05,1,0,0,0,0,0,0
2018-03-06,6,0,0,0,1,0,0
2018-03-07,4,0,0,0,0,0,0
2018-03-08,0,0,0,2,1,0,0
2018-03-09,0,0,0,0,1,0,0
2018-03-10,2,0,0,0,0,0,0
2018-03-11,1,0,0,0,0,0,0
2018-03-12,1,0,0,0,0,0,0
2018-03-13,2,0,0,0,2,0,0
2018-03-14,2,0,0,0,0,0,0
2018-03-15,4,0,0,0,0,0,0
2018-03-16,0,0,0,1,3,0,0
2018-03-17,2,0,0,0,1,0,0
2018-03-18,1,0,0,0,0,0,0
2018-03-19,1,0,0,0,1,0,0
2018-03-20,2,0,0,0,1,0,0
2018-03-21,4,0,0,0,3,0,0
2018-03-23,2,0,0,1,0,0,0
2018-03-24,3,0,0,0,0,0,0
2018-03-25,3,0,0,1,1,0,0
2018-03-26,3,0,0,0,0,0,0
2018-03-27,1,0,0,0,2,0,0
2018-03-28,4,0,0,1,1,0,0
2018-03-29,2,0,0,2,0,1,0
2018-03-30,1,0,0,1,1,0,0
2018-03-31,1,0,0,0,1,0,0
2018-04-01,2,0,0,0,0,0,0
2018-04-02,3,0,0,0,0,0,0
2018-04-03,0,0,0,0,1,0,0
2018-04-04,3,0,0,0,1,0,0
2018-04-05,4,0,0,1,0,2,0
2018-04-06,1,0,0,1,1,0,0
2018-04-07,0,0,0,0,2,1,0
2018-04-08,4,0,0,0,0,1,0
2018-04-09,6,0,0,0,0,0,0
2018-04-10,3,0,0,0,2,1,0
2018-04-11,4,0,0,0,0,0,0
2018-04-12,2,0,0,0,2,1,0
2018-04-13,3,0,0,0,1,1,0
